epoch,step,train_loss,val_ap,val_auc,val_loss
0,23,1.006605625152588,0.3327450454235077,0.5891227126121521,0.9822524785995485
1,47,0.9690359234809875,0.3743524253368377,0.6125761866569519,0.9754091501235962
2,71,0.9589018821716307,0.3946914076805115,0.6198198199272156,0.9721204042434692
